country,score,gdp_per_capita,social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,region_Australia and New Zealand,region_Central and Eastern Europe,region_Eastern Asia,region_Latin America and Caribbean,region_Middle East and Northern Africa,region_North America,region_Southeastern Asia,region_Southern Asia,region_Sub-Saharan Africa,region_Western Europe,region_Western Europre,year_2015,year_2016,year_2017,year_2018,year_2019
Italy,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Moldova,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Paraguay,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Kazakhstan,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Slovenia,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Lithuania,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Nicaragua,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Peru,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Belarus,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
